precinct,taser_recert,firearms_requal
Meadowbrook,Fail,Fail
Meadowbrook,Fail,Fail
Meadowbrook,Pass,Fail
Meadowbrook,Fail,Pass
Meadowbrook,Pass,Fail
Meadowbrook,Pass,Pass
Meadowbrook,Pass,Pass
Meadowbrook,Pass,Fail
Meadowbrook,Pass,Fail
Meadowbrook,Pass,Pass
Meadowbrook,Pass,Pass
Meadowbrook,Pass,Pass
Meadowbrook,Fail,Pass
Meadowbrook,Pass,Pass
Meadowbrook,Pass,Pass
Meadowbrook,Fail,Fail
Meadowbrook,Fail,Pass
Meadowbrook,Pass,Pass
Meadowbrook,Pass,Pass
Meadowbrook,Pass,Pass
Meadowbrook,Fail,Pass
Meadowbrook,Pass,Pass
Meadowbrook,Fail,Pass
Meadowbrook,Fail,Pass
Meadowbrook,Pass,Fail
Meadowbrook,Pass,Pass
Meadowbrook,Pass,Pass
Meadowbrook,Fail,Pass
Meadowbrook,Pass,Pass
Meadowbrook,Fail,Pass
Meadowbrook,Pass,Fail
Meadowbrook,Fail,Pass
Meadowbrook,Pass,Pass
Meadowbrook,Pass,Fail
Meadowbrook,Pass,Fail
Meadowbrook,Fail,Fail
Meadowbrook,Pass,Pass
Meadowbrook,Pass,Pass
Meadowbrook,Fail,Fail
Meadowbrook,Pass,Pass
Meadowbrook,Pass,Pass
Meadowbrook,Pass,Pass
Meadowbrook,Pass,Pass
Meadowbrook,Fail,Pass
Meadowbrook,Pass,Fail
Meadowbrook,Fail,Fail
Meadowbrook,Fail,Fail
Meadowbrook,Pass,Fail
Meadowbrook,Fail,Pass
Meadowbrook,Pass,Pass
Meadowbrook,Pass,Pass
Meadowbrook,Pass,Fail
Meadowbrook,Pass,Fail
Meadowbrook,Pass,Pass
Meadowbrook,Pass,Pass
Meadowbrook,Pass,Pass
Meadowbrook,Pass,Pass
Meadowbrook,Pass,Pass
Meadowbrook,Pass,Pass
Meadowbrook,Pass,Fail
Coldharbor,Pass,Fail
Coldharbor,Pass,Fail
Coldharbor,Pass,Pass
Coldharbor,Pass,Pass
Coldharbor,Fail,Pass
Coldharbor,Pass,Pass
Coldharbor,Fail,Fail
Coldharbor,Fail,Pass
Coldharbor,Pass,Pass
Coldharbor,Fail,Pass
Coldharbor,Fail,Pass
Coldharbor,Pass,Pass
Coldharbor,Pass,Pass
Coldharbor,Fail,Pass
Coldharbor,Fail,Pass
Coldharbor,Pass,Pass
Coldharbor,Fail,Pass
Coldharbor,Pass,Pass
Coldharbor,Fail,Pass
Coldharbor,Pass,Pass
Coldharbor,Pass,Fail
Coldharbor,Pass,Pass
Coldharbor,Pass,Fail
Coldharbor,Fail,Pass
Coldharbor,Fail,Pass
Coldharbor,Fail,Pass
Coldharbor,Pass,Fail
Coldharbor,Fail,Pass
Coldharbor,Pass,Pass
Coldharbor,Pass,Pass
Coldharbor,Fail,Pass
Coldharbor,Pass,Pass
Coldharbor,Fail,Pass
Coldharbor,Pass,Pass
Coldharbor,Pass,Pass
Coldharbor,Fail,Pass
Coldharbor,Pass,Pass
Coldharbor,Pass,Pass
Coldharbor,Pass,Pass
Coldharbor,Pass,Fail
Coldharbor,Fail,Pass
Coldharbor,Pass,Pass
Coldharbor,Pass,Pass
Coldharbor,Pass,Fail
Coldharbor,Pass,Pass
Coldharbor,Pass,Pass
Coldharbor,Pass,Pass
Coldharbor,Pass,Pass
Coldharbor,Pass,Pass
Coldharbor,Pass,Pass
Coldharbor,Fail,Pass
Coldharbor,Pass,Pass
Coldharbor,Pass,Pass
Coldharbor,Pass,Pass
Coldharbor,Pass,Fail
Coldharbor,Pass,Pass
Coldharbor,Fail,Pass
Coldharbor,Pass,Fail
Coldharbor,Fail,Pass
Coldharbor,Fail,Pass
