academy,score
Meadowbrook,68.9
Meadowbrook,87.8
Meadowbrook,65.3
Meadowbrook,76.6
Meadowbrook,90.5
Meadowbrook,70.9
Meadowbrook,72
Meadowbrook,70.6
Meadowbrook,73.6
Meadowbrook,77.2
Meadowbrook,86.4
Meadowbrook,69.2
Meadowbrook,66.8
Meadowbrook,74.7
Meadowbrook,66.9
Meadowbrook,74.8
Meadowbrook,70.9
Meadowbrook,57.4
Meadowbrook,78
Meadowbrook,73.8
Meadowbrook,83.7
Meadowbrook,84
Meadowbrook,88.5
Meadowbrook,82
Meadowbrook,83
Meadowbrook,73.5
Meadowbrook,88.1
Meadowbrook,88.7
Meadowbrook,70.4
Meadowbrook,68.8
Meadowbrook,78.7
Meadowbrook,85.4
Coldharbor,100
Coldharbor,91.8
Coldharbor,94.1
Coldharbor,89.6
Coldharbor,72.9
Coldharbor,64.5
Coldharbor,66.5
Coldharbor,80.3
Coldharbor,94.7
Coldharbor,74.7
Coldharbor,80.9
Coldharbor,97.6
Coldharbor,77.6
Coldharbor,86.3
Coldharbor,74
Coldharbor,77.6
Coldharbor,75.3
Coldharbor,80.9
Coldharbor,93.9
Coldharbor,83.1
Coldharbor,90.2
Coldharbor,76.5
Coldharbor,80.5
Coldharbor,73.6
Coldharbor,87.9
Coldharbor,80.5
Coldharbor,81
Coldharbor,83.5
Coldharbor,71.8
Coldharbor,88.8
Coldharbor,76.6
Coldharbor,85.7
Northgate,76.5
Northgate,80.1
Northgate,65.1
Northgate,80.4
Northgate,72.2
Northgate,80.6
Northgate,81.3
Northgate,81.1
Northgate,85.9
Northgate,83.3
Northgate,86.5
Northgate,81.7
Northgate,91.3
Northgate,84
Northgate,84.6
Northgate,78.2
Northgate,87.2
Northgate,68.2
Northgate,91.3
Northgate,82.8
Northgate,88.7
Northgate,77
Northgate,100
Northgate,79
Northgate,82.4
Northgate,78.6
Northgate,90.9
Northgate,74
Northgate,87.7
Northgate,90.7
Northgate,91.4
Northgate,86.3
