district,commute_minutes
Meadowbrook,31.7
Meadowbrook,28.7
Meadowbrook,34
Meadowbrook,23.5
Meadowbrook,18.4
Meadowbrook,34.7
Meadowbrook,24.7
Meadowbrook,23.4
Meadowbrook,22.1
Meadowbrook,15.6
Meadowbrook,19.9
Meadowbrook,24.3
Meadowbrook,27.1
Meadowbrook,36.2
Meadowbrook,24.8
Meadowbrook,16.8
Meadowbrook,30
Meadowbrook,18.2
Meadowbrook,10.7
Meadowbrook,22.5
Meadowbrook,16.2
Meadowbrook,28.7
Meadowbrook,15.5
Meadowbrook,29.4
Meadowbrook,23.7
Meadowbrook,31.2
Meadowbrook,37.1
Meadowbrook,27.9
Meadowbrook,25.7
Meadowbrook,25.5
Coldharbor,32
Coldharbor,18.1
Coldharbor,20.3
Coldharbor,31.3
Coldharbor,32
Coldharbor,25.3
Coldharbor,22.7
Coldharbor,30.2
Coldharbor,32
Coldharbor,24.8
Coldharbor,18.1
Coldharbor,25.9
Coldharbor,25.9
Coldharbor,24
Coldharbor,22.1
Coldharbor,21
Coldharbor,20.7
Coldharbor,30.5
Coldharbor,28.2
Coldharbor,38.8
Coldharbor,23.9
Coldharbor,17
Coldharbor,31
Coldharbor,29.4
Coldharbor,36.6
Coldharbor,39.1
Coldharbor,5.2
Coldharbor,25.1
Coldharbor,31.7
Coldharbor,21.7
Northgate,20.5
Northgate,33.4
Northgate,31.5
Northgate,33.5
Northgate,15
Northgate,23.1
Northgate,36.6
Northgate,21.7
Northgate,22.7
Northgate,24.4
Northgate,31.7
Northgate,27.4
Northgate,17
Northgate,31.8
Northgate,21.6
Northgate,30.7
Northgate,25.6
Northgate,17.9
Northgate,27.6
Northgate,26.8
Northgate,38.9
Northgate,31.9
Northgate,21.4
Northgate,14.7
Northgate,34.3
Northgate,24.5
Northgate,32.6
Northgate,29.7
Northgate,30.4
Northgate,41.4
Fairview,31.3
Fairview,26.8
Fairview,35.1
Fairview,36.8
Fairview,26.8
Fairview,18.5
Fairview,22.6
Fairview,27.1
Fairview,25
Fairview,27.2
Fairview,23.3
Fairview,37
Fairview,34.8
Fairview,24.3
Fairview,28.8
Fairview,27.1
Fairview,7.8
Fairview,26.4
Fairview,24
Fairview,33
Fairview,16.4
Fairview,34.8
Fairview,29.9
Fairview,23.5
Fairview,22.7
Fairview,31.9
Fairview,16.3
Fairview,17.6
Fairview,37.5
Fairview,46.6
