district,response_minutes
Meadowbrook,6.6
Meadowbrook,8.7
Meadowbrook,14.7
Meadowbrook,12.5
Meadowbrook,9.4
Meadowbrook,8.2
Meadowbrook,10.8
Meadowbrook,7.2
Meadowbrook,4.3
Meadowbrook,4.6
Meadowbrook,3
Meadowbrook,1.2
Meadowbrook,9.3
Meadowbrook,6.8
Meadowbrook,8.1
Meadowbrook,7.9
Meadowbrook,1.4
Meadowbrook,4.5
Meadowbrook,2.2
Meadowbrook,9.3
Meadowbrook,9.6
Meadowbrook,8.1
Meadowbrook,7.7
Meadowbrook,10.4
Meadowbrook,11.9
Meadowbrook,6
Meadowbrook,6.3
Meadowbrook,3.6
Meadowbrook,7.4
Meadowbrook,9.4
Coldharbor,6.5
Coldharbor,3.2
Coldharbor,8.4
Coldharbor,6.6
Coldharbor,8.7
Coldharbor,6.4
Coldharbor,3.3
Coldharbor,5.1
Coldharbor,6.9
Coldharbor,5.4
Coldharbor,5.4
Coldharbor,13.1
Coldharbor,2.3
Coldharbor,5.3
Coldharbor,5.5
Coldharbor,13.3
Coldharbor,4.3
Coldharbor,7.8
Coldharbor,6.2
Coldharbor,7.1
Coldharbor,5
Coldharbor,14.7
Coldharbor,8.2
Coldharbor,5.1
Coldharbor,6.7
Coldharbor,2.1
Coldharbor,9.9
Coldharbor,3.5
Coldharbor,12.6
Coldharbor,11.3
Northgate,10.1
Northgate,6
Northgate,11.2
Northgate,6.5
Northgate,8.3
Northgate,8.7
Northgate,3.6
Northgate,9.8
Northgate,4.2
Northgate,7.8
Northgate,7.4
Northgate,1.5
Northgate,11.6
Northgate,5.9
Northgate,5.5
Northgate,7.3
Northgate,10.8
Northgate,10.7
Northgate,11.7
Northgate,2.3
Northgate,7.5
Northgate,8.2
Northgate,7.9
Northgate,6.8
Northgate,12.9
Northgate,4.4
Northgate,11.3
Northgate,4.1
Northgate,7.2
Northgate,5.9
Fairview,8.9
Fairview,15.4
Fairview,5.3
Fairview,5
Fairview,14.9
Fairview,11.3
Fairview,2.8
Fairview,10
Fairview,7.8
Fairview,21.8
Fairview,3.5
Fairview,11.3
Fairview,4.1
Fairview,9
Fairview,4.2
Fairview,3.3
Fairview,9.7
Fairview,9.9
Fairview,8.6
Fairview,5.3
Fairview,4.8
Fairview,8
Fairview,11.7
Fairview,4.9
Fairview,11
Fairview,7.3
Fairview,3.7
Fairview,3.1
Fairview,13.8
Fairview,13.3
Ashford,17.4
Ashford,9.8
Ashford,11
Ashford,9.4
Ashford,12.1
Ashford,15.5
Ashford,24.6
Ashford,19
Ashford,12.5
Ashford,8.7
Ashford,12.3
Ashford,12.5
Ashford,11.1
Ashford,11.9
Ashford,7.3
Ashford,11.5
Ashford,9.5
Ashford,15.6
Ashford,16
Ashford,11.8
Ashford,12.5
Ashford,3.8
Ashford,29
Ashford,10.1
Ashford,15
Ashford,25.8
Ashford,9.3
Ashford,10.1
Ashford,4.8
Ashford,23.7
