district,citations
Meadowbrook,7
Meadowbrook,4
Meadowbrook,5
Meadowbrook,2
Meadowbrook,7
Meadowbrook,4
Meadowbrook,3
Meadowbrook,5
Meadowbrook,3
Meadowbrook,5
Meadowbrook,6
Meadowbrook,8
Meadowbrook,7
Meadowbrook,6
Meadowbrook,6
Meadowbrook,6
Meadowbrook,1
Meadowbrook,5
Meadowbrook,7
Meadowbrook,6
Meadowbrook,8
Meadowbrook,7
Meadowbrook,7
Meadowbrook,7
Meadowbrook,7
Meadowbrook,8
Meadowbrook,9
Meadowbrook,6
Meadowbrook,5
Meadowbrook,6
Meadowbrook,8
Meadowbrook,6
Coldharbor,7
Coldharbor,8
Coldharbor,7
Coldharbor,4
Coldharbor,9
Coldharbor,4
Coldharbor,6
Coldharbor,7
Coldharbor,6
Coldharbor,7
Coldharbor,4
Coldharbor,6
Coldharbor,10
Coldharbor,4
Coldharbor,3
Coldharbor,6
Coldharbor,11
Coldharbor,8
Coldharbor,6
Coldharbor,7
Coldharbor,9
Coldharbor,5
Coldharbor,7
Coldharbor,3
Coldharbor,4
Coldharbor,8
Coldharbor,7
Coldharbor,8
Coldharbor,3
Coldharbor,10
Coldharbor,7
Coldharbor,5
Northgate,6
Northgate,7
Northgate,13
Northgate,12
Northgate,9
Northgate,9
Northgate,12
Northgate,15
Northgate,15
Northgate,16
Northgate,8
Northgate,11
Northgate,9
Northgate,9
Northgate,9
Northgate,8
Northgate,10
Northgate,13
Northgate,10
Northgate,8
Northgate,9
Northgate,11
Northgate,14
Northgate,15
Northgate,7
Northgate,10
Northgate,12
Northgate,16
Northgate,16
Northgate,8
Northgate,7
Northgate,10
Fairview,6
Fairview,10
Fairview,10
Fairview,9
Fairview,5
Fairview,12
Fairview,7
Fairview,3
Fairview,5
Fairview,7
Fairview,11
Fairview,6
Fairview,3
Fairview,10
Fairview,12
Fairview,4
Fairview,4
Fairview,4
Fairview,10
Fairview,11
Fairview,6
Fairview,5
Fairview,6
Fairview,7
Fairview,7
Fairview,4
Fairview,7
Fairview,11
Fairview,3
Fairview,3
Fairview,3
Fairview,8
