training_method,experience_level,exam_score
Standard,Rookie,72.3
Standard,Rookie,86.5
Standard,Rookie,66.9
Standard,Rookie,78.1
Standard,Rookie,74.4
Standard,Rookie,58.7
Standard,Rookie,70.2
Standard,Rookie,79.8
Standard,Rookie,68.8
Standard,Rookie,60.3
Standard,Rookie,77.7
Standard,Rookie,66.7
Standard,Rookie,71.5
Standard,Rookie,58.8
Standard,Rookie,83.1
Standard,Rookie,70
Standard,Rookie,69.8
Standard,Rookie,70.3
Standard,Rookie,59.5
Standard,Rookie,65.3
Standard,Rookie,82.4
Standard,Rookie,82.7
Standard,Rookie,66.4
Standard,Rookie,66
Standard,Rookie,79.1
Standard,Rookie,73.9
Standard,Rookie,76.6
Standard,Rookie,63.9
Standard,Rookie,72.9
Standard,Rookie,78.2
Standard,Veteran,65.8
Standard,Veteran,70
Standard,Veteran,83.1
Standard,Veteran,76.8
Standard,Veteran,78.7
Standard,Veteran,74.2
Standard,Veteran,67.8
Standard,Veteran,79.3
Standard,Veteran,64.2
Standard,Veteran,58.2
Standard,Veteran,73.3
Standard,Veteran,76.5
Standard,Veteran,92.4
Standard,Veteran,61.1
Standard,Veteran,67
Standard,Veteran,81.3
Standard,Veteran,59.8
Standard,Veteran,84
Standard,Veteran,76.4
Standard,Veteran,78.4
Standard,Veteran,76.2
Standard,Veteran,79.2
Standard,Veteran,67.8
Standard,Veteran,85.1
Standard,Veteran,73.7
Standard,Veteran,62
Standard,Veteran,63.7
Standard,Veteran,74.7
Standard,Veteran,80.4
Standard,Veteran,69
Enhanced,Rookie,82.7
Enhanced,Rookie,76.2
Enhanced,Rookie,74.7
Enhanced,Rookie,68.3
Enhanced,Rookie,66.6
Enhanced,Rookie,69.6
Enhanced,Rookie,77
Enhanced,Rookie,84.9
Enhanced,Rookie,73.3
Enhanced,Rookie,91.2
Enhanced,Rookie,66.3
Enhanced,Rookie,63.1
Enhanced,Rookie,68.1
Enhanced,Rookie,75.5
Enhanced,Rookie,80.4
Enhanced,Rookie,75.1
Enhanced,Rookie,83.2
Enhanced,Rookie,89
Enhanced,Rookie,71.2
Enhanced,Rookie,98.4
Enhanced,Rookie,80
Enhanced,Rookie,100
Enhanced,Rookie,81.4
Enhanced,Rookie,75.8
Enhanced,Rookie,75.8
Enhanced,Rookie,75.5
Enhanced,Rookie,77.1
Enhanced,Rookie,85.5
Enhanced,Rookie,81.1
Enhanced,Rookie,78.6
Enhanced,Veteran,73
Enhanced,Veteran,68.1
Enhanced,Veteran,98.9
Enhanced,Veteran,83.4
Enhanced,Veteran,78
Enhanced,Veteran,94
Enhanced,Veteran,78.5
Enhanced,Veteran,91.6
Enhanced,Veteran,71
Enhanced,Veteran,58.1
Enhanced,Veteran,79.6
Enhanced,Veteran,79.7
Enhanced,Veteran,69.1
Enhanced,Veteran,93.2
Enhanced,Veteran,89.7
Enhanced,Veteran,77
Enhanced,Veteran,81.8
Enhanced,Veteran,88.3
Enhanced,Veteran,56.7
Enhanced,Veteran,83.7
Enhanced,Veteran,72.1
Enhanced,Veteran,85.6
Enhanced,Veteran,81.2
Enhanced,Veteran,83.7
Enhanced,Veteran,83
Enhanced,Veteran,85.5
Enhanced,Veteran,66.4
Enhanced,Veteran,75.9
Enhanced,Veteran,89.5
Enhanced,Veteran,78.2
Peer-Led,Rookie,75.4
Peer-Led,Rookie,79.1
Peer-Led,Rookie,73.9
Peer-Led,Rookie,79.9
Peer-Led,Rookie,62.5
Peer-Led,Rookie,76.4
Peer-Led,Rookie,84.9
Peer-Led,Rookie,81.1
Peer-Led,Rookie,71.8
Peer-Led,Rookie,61.3
Peer-Led,Rookie,53.2
Peer-Led,Rookie,68.4
Peer-Led,Rookie,90.4
Peer-Led,Rookie,70.7
Peer-Led,Rookie,97.1
Peer-Led,Rookie,70.4
Peer-Led,Rookie,78.2
Peer-Led,Rookie,70
Peer-Led,Rookie,61.8
Peer-Led,Rookie,82.8
Peer-Led,Rookie,75.1
Peer-Led,Rookie,75.7
Peer-Led,Rookie,54.3
Peer-Led,Rookie,55.1
Peer-Led,Rookie,76.5
Peer-Led,Rookie,84.1
Peer-Led,Rookie,87.8
Peer-Led,Rookie,80.2
Peer-Led,Rookie,58.2
Peer-Led,Rookie,80.7
Peer-Led,Veteran,74.1
Peer-Led,Veteran,71.3
Peer-Led,Veteran,78.8
Peer-Led,Veteran,81.7
Peer-Led,Veteran,57.1
Peer-Led,Veteran,74.7
Peer-Led,Veteran,57.2
Peer-Led,Veteran,56.6
Peer-Led,Veteran,77.8
Peer-Led,Veteran,72
Peer-Led,Veteran,65.3
Peer-Led,Veteran,83.7
Peer-Led,Veteran,64.1
Peer-Led,Veteran,76.6
Peer-Led,Veteran,75.9
Peer-Led,Veteran,76.6
Peer-Led,Veteran,73.4
Peer-Led,Veteran,55.3
Peer-Led,Veteran,77
Peer-Led,Veteran,81.5
Peer-Led,Veteran,71.3
Peer-Led,Veteran,79.8
Peer-Led,Veteran,73.4
Peer-Led,Veteran,92
Peer-Led,Veteran,75
Peer-Led,Veteran,68.8
Peer-Led,Veteran,94.7
Peer-Led,Veteran,85.3
Peer-Led,Veteran,83.9
Peer-Led,Veteran,90.4
