shift,unit,fatigue_score
Day,Patrol,43.5
Day,Patrol,47.9
Day,Patrol,51.9
Day,Patrol,24.8
Day,Patrol,59.2
Day,Patrol,51.5
Day,Patrol,55.5
Day,Patrol,40.4
Day,Patrol,58.3
Day,Patrol,66.5
Day,Patrol,46.6
Day,Patrol,34.9
Day,Patrol,48.5
Day,Patrol,49.2
Day,Patrol,39.8
Day,Patrol,49.4
Day,Patrol,66.2
Day,Patrol,65.8
Day,Patrol,58.3
Day,Patrol,46.5
Day,Patrol,43.1
Day,Patrol,54.5
Day,Patrol,40.8
Day,Patrol,52.6
Day,Patrol,34.8
Day,Patrol,41.1
Day,Patrol,31.8
Day,Patrol,47.5
Day,Patrol,54.3
Day,Patrol,37.2
Day,Desk,56.4
Day,Desk,55
Day,Desk,45.2
Day,Desk,46.2
Day,Desk,50.3
Day,Desk,43.8
Day,Desk,63.3
Day,Desk,59.4
Day,Desk,46.1
Day,Desk,26.4
Day,Desk,37.5
Day,Desk,44.3
Day,Desk,51.8
Day,Desk,53.2
Day,Desk,34.7
Day,Desk,59.8
Day,Desk,37.3
Day,Desk,65.5
Day,Desk,48.8
Day,Desk,55.6
Day,Desk,50.5
Day,Desk,37.9
Day,Desk,61.7
Day,Desk,48.9
Day,Desk,53.3
Day,Desk,30.4
Day,Desk,65.5
Day,Desk,58.7
Day,Desk,52.7
Day,Desk,50.3
Day,K9,45.2
Day,K9,44.3
Day,K9,44.6
Day,K9,60.9
Day,K9,51.5
Day,K9,38.7
Day,K9,54.9
Day,K9,43.3
Day,K9,74.3
Day,K9,60.7
Day,K9,46.5
Day,K9,65.1
Day,K9,63.8
Day,K9,37
Day,K9,57.8
Day,K9,71.5
Day,K9,45.5
Day,K9,61.7
Day,K9,55.8
Day,K9,64
Day,K9,37.3
Day,K9,58.9
Day,K9,51
Day,K9,55.8
Day,K9,41.9
Day,K9,42.1
Day,K9,59.3
Day,K9,65.7
Day,K9,61.6
Day,K9,35.2
Night,Patrol,76.2
Night,Patrol,58.4
Night,Patrol,69.8
Night,Patrol,59.9
Night,Patrol,73.1
Night,Patrol,67.3
Night,Patrol,53.6
Night,Patrol,53.2
Night,Patrol,44.3
Night,Patrol,53.8
Night,Patrol,46
Night,Patrol,43.2
Night,Patrol,50.9
Night,Patrol,52.3
Night,Patrol,48.6
Night,Patrol,55
Night,Patrol,68.1
Night,Patrol,51.6
Night,Patrol,55.9
Night,Patrol,45.3
Night,Patrol,59.5
Night,Patrol,58.6
Night,Patrol,70.2
Night,Patrol,53.4
Night,Patrol,46.1
Night,Patrol,60.5
Night,Patrol,69.5
Night,Patrol,60.1
Night,Patrol,75.3
Night,Patrol,55.2
Night,Desk,49.1
Night,Desk,56.7
Night,Desk,38
Night,Desk,77.6
Night,Desk,59.6
Night,Desk,62.7
Night,Desk,62.2
Night,Desk,42.5
Night,Desk,55.3
Night,Desk,54.1
Night,Desk,44.2
Night,Desk,48.5
Night,Desk,58.5
Night,Desk,57.3
Night,Desk,49.7
Night,Desk,55.5
Night,Desk,65.4
Night,Desk,44.4
Night,Desk,49.3
Night,Desk,43.1
Night,Desk,48.4
Night,Desk,66
Night,Desk,58
Night,Desk,55.5
Night,Desk,50
Night,Desk,40.6
Night,Desk,47.8
Night,Desk,54.9
Night,Desk,72.6
Night,Desk,57.5
Night,K9,51.1
Night,K9,37.3
Night,K9,45.9
Night,K9,76.5
Night,K9,52
Night,K9,57.7
Night,K9,47.7
Night,K9,53.3
Night,K9,60.7
Night,K9,49.5
Night,K9,54.4
Night,K9,47.8
Night,K9,61.5
Night,K9,65.1
Night,K9,54.6
Night,K9,49.5
Night,K9,52.7
Night,K9,31.9
Night,K9,61.6
Night,K9,55.8
Night,K9,51.9
Night,K9,56
Night,K9,52.4
Night,K9,50.2
Night,K9,36.5
Night,K9,60.5
Night,K9,60.3
Night,K9,42.2
Night,K9,62.6
Night,K9,53.6
