rank,fitness_cat
Officer,Low
Officer,Low
Officer,Low
Officer,Low
Officer,Low
Officer,Low
Officer,Low
Officer,Low
Officer,Low
Officer,Low
Officer,Low
Officer,Low
Officer,Low
Officer,Low
Officer,Low
Officer,Low
Officer,Low
Officer,Low
Officer,Medium
Officer,Medium
Officer,Medium
Officer,Medium
Officer,Medium
Officer,Medium
Officer,Medium
Officer,Medium
Officer,Medium
Officer,Medium
Officer,Medium
Officer,Medium
Officer,Medium
Officer,Medium
Officer,Medium
Officer,Medium
Officer,Medium
Officer,Medium
Officer,Medium
Officer,Medium
Officer,Medium
Officer,Medium
Officer,Medium
Officer,Medium
Officer,Medium
Officer,Medium
Officer,Medium
Officer,Medium
Officer,Medium
Officer,Medium
Officer,High
Officer,High
Officer,High
Officer,High
Officer,High
Officer,High
Officer,High
Officer,High
Officer,High
Officer,High
Officer,High
Officer,High
Sergeant,Low
Sergeant,Low
Sergeant,Low
Sergeant,Low
Sergeant,Low
Sergeant,Low
Sergeant,Low
Sergeant,Low
Sergeant,Low
Sergeant,Low
Sergeant,Low
Sergeant,Low
Sergeant,Low
Sergeant,Low
Sergeant,Medium
Sergeant,Medium
Sergeant,Medium
Sergeant,Medium
Sergeant,Medium
Sergeant,Medium
Sergeant,Medium
Sergeant,Medium
Sergeant,Medium
Sergeant,Medium
Sergeant,Medium
Sergeant,Medium
Sergeant,Medium
Sergeant,Medium
Sergeant,Medium
Sergeant,Medium
Sergeant,Medium
Sergeant,Medium
Sergeant,Medium
Sergeant,Medium
Sergeant,Medium
Sergeant,Medium
Sergeant,Medium
Sergeant,Medium
Sergeant,High
Sergeant,High
Sergeant,High
Sergeant,High
Sergeant,High
Sergeant,High
Sergeant,High
Sergeant,High
Sergeant,High
Sergeant,High
Sergeant,High
Sergeant,High
Captain,Low
Captain,Low
Captain,Low
Captain,Low
Captain,Low
Captain,Low
Captain,Medium
Captain,Medium
Captain,Medium
Captain,Medium
Captain,Medium
Captain,Medium
Captain,Medium
Captain,Medium
Captain,Medium
Captain,Medium
Captain,Medium
Captain,Medium
Captain,Medium
Captain,High
Captain,High
Captain,High
Captain,High
Captain,High
Captain,High
Captain,High
Captain,High
Captain,High
Captain,High
