shift,income_level
Morning,Low
Morning,Low
Morning,Low
Morning,Low
Morning,Low
Morning,Low
Morning,Low
Morning,Low
Morning,Low
Morning,Low
Morning,Low
Morning,Low
Morning,Medium
Morning,Medium
Morning,Medium
Morning,Medium
Morning,Medium
Morning,Medium
Morning,Medium
Morning,Medium
Morning,Medium
Morning,Medium
Morning,Medium
Morning,Medium
Morning,Medium
Morning,Medium
Morning,Medium
Morning,Medium
Morning,Medium
Morning,Medium
Morning,Medium
Morning,Medium
Morning,High
Morning,High
Morning,High
Morning,High
Morning,High
Morning,High
Morning,High
Morning,High
Afternoon,Low
Afternoon,Low
Afternoon,Low
Afternoon,Low
Afternoon,Low
Afternoon,Low
Afternoon,Low
Afternoon,Low
Afternoon,Low
Afternoon,Low
Afternoon,Low
Afternoon,Medium
Afternoon,Medium
Afternoon,Medium
Afternoon,Medium
Afternoon,Medium
Afternoon,Medium
Afternoon,Medium
Afternoon,Medium
Afternoon,Medium
Afternoon,Medium
Afternoon,Medium
Afternoon,Medium
Afternoon,Medium
Afternoon,Medium
Afternoon,Medium
Afternoon,Medium
Afternoon,Medium
Afternoon,Medium
Afternoon,Medium
Afternoon,Medium
Afternoon,High
Afternoon,High
Afternoon,High
Afternoon,High
Afternoon,High
Afternoon,High
Afternoon,High
Afternoon,High
Evening,Low
Evening,Low
Evening,Low
Evening,Low
Evening,Low
Evening,Low
Evening,Low
Evening,Low
Evening,Low
Evening,Low
Evening,Low
Evening,Low
Evening,Medium
Evening,Medium
Evening,Medium
Evening,Medium
Evening,Medium
Evening,Medium
Evening,Medium
Evening,Medium
Evening,Medium
Evening,Medium
Evening,Medium
Evening,Medium
Evening,Medium
Evening,Medium
Evening,Medium
Evening,Medium
Evening,Medium
Evening,Medium
Evening,Medium
Evening,High
Evening,High
Evening,High
Evening,High
Evening,High
Evening,High
Evening,High
Evening,High
