department,outcome
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Pass
Patrol,Fail
Patrol,Fail
Patrol,Fail
Patrol,Fail
Patrol,Fail
Patrol,Fail
Patrol,Fail
Patrol,Fail
Patrol,Fail
Patrol,Fail
Patrol,Resubmit
Patrol,Resubmit
Patrol,Resubmit
Patrol,Resubmit
Patrol,Resubmit
Patrol,Resubmit
Patrol,Resubmit
Patrol,Resubmit
Patrol,Resubmit
Patrol,Resubmit
Patrol,Resubmit
Patrol,Resubmit
Patrol,Resubmit
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Pass
Desk,Fail
Desk,Fail
Desk,Fail
Desk,Fail
Desk,Fail
Desk,Fail
Desk,Fail
Desk,Fail
Desk,Fail
Desk,Fail
Desk,Fail
Desk,Fail
Desk,Fail
Desk,Fail
Desk,Fail
Desk,Fail
Desk,Fail
Desk,Fail
Desk,Resubmit
Desk,Resubmit
Desk,Resubmit
Desk,Resubmit
Desk,Resubmit
Desk,Resubmit
Desk,Resubmit
Desk,Resubmit
Desk,Resubmit
Desk,Resubmit
Desk,Resubmit
Desk,Resubmit
Desk,Resubmit
Desk,Resubmit
Desk,Resubmit
Desk,Resubmit
Desk,Resubmit
Desk,Resubmit
Desk,Resubmit
Desk,Resubmit
Desk,Resubmit
Desk,Resubmit
Desk,Resubmit
