guest_id,park,weather,passholder,ll_use,age,party_size,visit_days,avg_temp_f,walked_miles,num_rides,wait_avg_am,wait_avg_pm,satisfaction_slider,budget,money_spent,spending_day1,spending_day2,plan_style,planned_character_dinner,actual_character_dinner,would_recommend
1,Hollywood Studios,Cloudy,No,No,19,4,6,78.1,9.75,7,63.1,70,85.9,300,308.64,143.87,45.99,Planner,Yes,No,Yes
2,Animal Kingdom,Sunny,No,Yes,37,4,8,97.8,10.44,17,35.9,42.2,93.2,300,329.65,128.77,117.84,Planner,Yes,Yes,Yes
3,Hollywood Studios,Sunny,No,Yes,28,4,5,60.8,10.54,9,40.8,53.6,72.4,300,329.57,164.07,60.08,Planner,No,No,Yes
4,Animal Kingdom,Sunny,No,Yes,23,4,14,78.2,11.93,26,20.5,29,86.7,400,442.02,241.47,91,Mixed,No,No,Yes
5,Animal Kingdom,Sunny,No,Yes,26,3,3,71.4,8.94,13,38.6,50.6,59.6,200,242.73,129.56,28.49,Mixed,Yes,Yes,No
6,EPCOT,Sunny,Yes,No,28,4,7,78.2,12.98,10,37.8,40.2,90.5,200,311.87,113.16,70.28,Spontaneous,Yes,Yes,Yes
7,EPCOT,Sunny,Yes,No,22,5,4,94.5,9.67,17,31.3,40.1,86.1,300,NA,NA,NA,Planner,No,No,Yes
8,EPCOT,Sunny,Yes,Yes,42,3,6,76.6,7.83,17,40.1,54.9,72.8,300,335.55,140.68,116.74,Planner,Yes,No,Yes
9,Magic Kingdom,Cloudy,Yes,Yes,31,3,6,89.1,6.1,14,33.4,42.5,75.8,200,282.32,106.64,46.59,Mixed,Yes,Yes,No
10,Hollywood Studios,Sunny,No,No,40,5,4,91.2,10.83,11,46.3,56.6,91.2,300,324.76,134.04,66.9,Spontaneous,Yes,Yes,Yes
11,Animal Kingdom,Sunny,Yes,Yes,38,4,2,85.6,12.02,9,43.2,53.7,78.9,200,280.63,105.98,80.49,Planner,No,Yes,No
12,Magic Kingdom,Cloudy,No,Yes,25,4,5,80.2,14.48,12,55.5,57.9,72,300,369.03,130.71,127.56,Planner,No,Yes,Yes
13,Magic Kingdom,Rainy,No,Yes,39,4,9,76.7,11.85,18,28.1,54,69.7,300,338.17,168.56,81.03,Spontaneous,No,No,Yes
14,Magic Kingdom,Sunny,No,Yes,38,7,7,93.7,10.15,15,70.1,86,79.8,300,357.98,205.67,40.75,Spontaneous,Yes,Yes,Yes
15,Magic Kingdom,Cloudy,No,No,37,7,5,102,5.52,9,45.9,48.3,69.9,400,393.16,234.62,41.85,Planner,No,Yes,Yes
16,Hollywood Studios,Sunny,Yes,No,24,6,2,89.5,10.94,10,54,46.6,88.4,200,309.86,157.43,56.57,Spontaneous,Yes,No,Yes
17,Magic Kingdom,Sunny,No,Yes,33,3,5,87.5,8.58,12,33.9,37.9,75.3,200,289.2,141.14,47.74,Mixed,No,No,No
18,Magic Kingdom,Sunny,Yes,No,9,7,6,77.2,6.5,15,60.4,75.5,86.9,300,299.36,146.22,70.96,Mixed,Yes,Yes,Yes
19,EPCOT,Sunny,No,Yes,34,6,8,84.8,8.95,15,38,48.8,78.4,300,314.61,169.41,80.85,Planner,No,No,Yes
20,EPCOT,Cloudy,No,Yes,20,8,2,87.1,7.97,10,23.8,33,77.8,300,265.43,145.66,25.21,Mixed,No,No,Yes
